sample_id,filename,ground_truth,hierarchical_gt,m1_pred,m1_exact,m1_dist,m1_conf,best_method
14,note/Sewon-Kang-Fitzpatrick’s-Dermatology[2-Volume Set]-McGraw-Hil-Education(2019)-part8_00290_03575_0.png,"irritated seborrheic keratosis (from ""sk/isk"")","proliferations, benign, non-melanocytic, seborrheic keratosis, irritated seborrheic keratosis (from ""sk/isk"")",Basal cell carcinoma,0,3,0.9,m1
15,IIYI/66_1.png,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.0,none
16,youtube/o1YUsJxsHdU_frame_138268_1.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.3,none
17,youtube/7yKeNoCB8_E_frame_33920_1.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.0,none
18,youtube/iIhr9-LwS5Q_frame_11211_9.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.0,none
19,youtube/Xl3sMLqhK30_frame_29964_5.jpg,psoriasis,"inflammatory, non-infectious, psoriasis",no definitive diagnosis,0,-1,0.0,none
20,public/5453977556464879778.png,eczema,"inflammatory, non-infectious, eczema",Acute vesicular dermatitis,0,4,0.8,m1
21,youtube/Z3Oa5mxfCOw_frame_15078_0_0.jpg,eczema,"inflammatory, non-infectious, eczema",no definitive diagnosis,0,-1,0.0,none
22,IIYI/1587_2.png,eczema,"inflammatory, non-infectious, eczema",no definitive diagnosis,0,-1,0.0,none
23,public/stasis-dermatitis-20.jpg,eczema,"inflammatory, non-infectious, eczema","Chronic dermatitis, NOS",0,3,0.7,m1
24,youtube/uzcGVrNYLaI_frame_343_0_0.jpg,eczema,"inflammatory, non-infectious, eczema",Inflammatory dermatosis,0,3,0.8,m1
25,public/ISIC_1842966.JPG,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",Exfoliative dermatitis,0,7,0.8,m1
26,public/ISIC_0022074.JPG,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",Melanocytic nevus,0,4,0.9,m1
27,youtube/ibybqKzOz54_frame_5920_1.jpg,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma","Angioma, Hemangioma",0,2,0.9,m1
28,public/ISIC_0022408.JPG,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",no definitive diagnosis,0,-1,0.5,none
29,youtube/jt3qSMam07o_frame_4640_1.jpg,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma","Lichen simplex chronicus, ",0,8,0.5,m1
30,youtube/ZkntcZt0aho_frame_58923_1.jpg,proliferations,proliferations,Dermatitis (acute and chronic),0,3,0.8,m1
31,youtube/ue12XjkOV_E_frame_48562_0_0.jpg,proliferations,proliferations,no definitive diagnosis,0,-1,0.5,none
32,youtube/BZ21v4OaWpM_frame_21990_2.jpg,proliferations,proliferations,Mucocele,0,2,0.9,m1
33,youtube/4DN_SfwZZXU_frame_19788_0_0.jpg,proliferations,proliferations,no definitive diagnosis,0,-1,0.25,none
34,youtube/oa3o-pGMz-U_frame_0_0.jpg,proliferations,proliferations,no definitive diagnosis,0,-1,0.0,none
35,"edu/Argenziano, Giuseppe- Giacomel, Jason- Zalaudek, Iris - Dermatoscopy of Non-Pigmented Skin Tumors - Pink - Think - Blink.-CRC Press (2015)_00030_07186_1.jpg",squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",no definitive diagnosis,0,-1,0.0,none
36,youtube/1O4E-aTIIiY_frame_8598_0.jpg,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",Squamous cell carcinoma,0,0,0.9,m1
37,youtube/ydZgOLJuf6U_frame_43277_1.jpg,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",no definitive diagnosis,0,-1,0.3,none
38,youtube/EScWfQK7pvA_frame_36436_0.jpg,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",Central centrifugal cicatricial alopecia,0,6,0.8,m1
39,public/ISIC_0021072.JPG,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",no definitive diagnosis,0,-1,0.6,none
40,IIYI/20486_2.png,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",Exfoliative dermatitis,0,6,0.8,m1
41,public/-1542787778564695920.png,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",no definitive diagnosis,0,-1,0.6,none
42,youtube/EHC3ejfvcrY_frame_3125_0_0.jpg,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria","Lichen simplex chronicus, ",0,7,0.5,m1
43,youtube/sdvE0xFsk7U_frame_896_0_0.jpg,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",Tinea corporis,0,7,0.9,m1
44,youtube/eH4cE2rg_ak_frame_29458_1.jpg,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",no definitive diagnosis,0,-1,0.5,none
45,youtube/d-nF_cZBgBY_frame_31402_0_0.jpg,lichen planus,"inflammatory, non-infectious, lichen planus",Acute vesicular dermatitis,0,4,0.8,m1
46,youtube/tMQAGKMxUEw_frame_73886_0.jpg,lichen planus,"inflammatory, non-infectious, lichen planus",no definitive diagnosis,0,-1,0.0,none
47,pubmed/a4_f4_PMC8859620_JOMFP_25_383_g004.png,lichen planus,"inflammatory, non-infectious, lichen planus",no definitive diagnosis,0,-1,0.25,none
48,youtube/jDTD1kfijoY_frame_17131_0_0.jpg,lichen planus,"inflammatory, non-infectious, lichen planus",no definitive diagnosis,0,-1,0.0,none
49,IIYI/10730_4.png,lichen planus,"inflammatory, non-infectious, lichen planus",no definitive diagnosis,0,-1,0.5,none
50,public/warts-common-39.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",Skin tag,0,8,1.0,m1
51,IIYI/29217_1.png,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",no definitive diagnosis,0,-1,0.3,none
52,public/herpes-type-1-recurrent-94.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",no definitive diagnosis,0,-1,0.0,none
53,public/warts-common-64.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",no definitive diagnosis,0,-1,0.0,none
54,public/corns-26.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",no definitive diagnosis,0,-1,0.25,none
55,"note/Diane Jackson-Richards, Amit G. Pandya (eds.) - Dermatology Atlas for Skin of Color-Springer-Verlag Berlin Heidelberg (2014)_00020_00168_0.png",vitiligo,"reaction patterns and descriptive terms, vitiligo",Morphea,0,5,0.9,m1
56,youtube/ughfUshyayw_frame_4579_0_0.jpg,vitiligo,"reaction patterns and descriptive terms, vitiligo",no definitive diagnosis,0,-1,0.0,none
57,youtube/dmTY89DBhAg_frame_41032_0.jpg,vitiligo,"reaction patterns and descriptive terms, vitiligo",no definitive diagnosis,0,-1,0.0,none
58,note/疑难皮肤病彩色图谱OCR_00257_14590_0.png,vitiligo,"reaction patterns and descriptive terms, vitiligo",no definitive diagnosis,0,-1,0.5,none
59,pubmed/9f_db_PMC6927254_CCID-12-911-g0002_1.jpg,vitiligo,"reaction patterns and descriptive terms, vitiligo",no definitive diagnosis,0,-1,0.0,none
60,public/sebaceous-hyperplasia-71.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses","Sebaceous gland hyperplasia, Sebaceous hyperplasia",0,3,0.9,m1
61,public/seborrheic-keratosis-irritated-33.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",no definitive diagnosis,0,-1,0.2,none
62,public/porokeratosis-31.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",no definitive diagnosis,0,-1,0.5,none
63,public/dermatofibroma-123.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",no definitive diagnosis,0,-1,0.0,none
64,public/epidermal-cyst-108.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",Dilated pore of Winer,0,3,0.9,m1
65,public/Lichen-Sclerosus-Penis-4.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",no definitive diagnosis,0,-1,0.0,none
66,public/Psoriasis-Chronic-Plaque-170.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",no definitive diagnosis,0,-1,0.3,none
67,public/Lichen-Sclerosis-Vulva-22.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",no definitive diagnosis,0,-1,0.25,none
68,public/Psoriasis-Guttate-75.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",no definitive diagnosis,0,-1,0.2,none
69,public/psoriasis-scalp-78.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",no definitive diagnosis,0,-1,0.0,none
70,IIYI/22269_2.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Impetigo,0,5,0.8,m1
71,IIYI/24063_2.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",no definitive diagnosis,0,-1,0.3,none
72,IIYI/830_3.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",no definitive diagnosis,0,-1,0.0,none
73,IIYI/25663_2.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Sunburn,0,6,0.9,m1
74,public/3730702458099585701.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Inflammatory dermatosis,0,4,0.8,m1
75,edu/(Eğitim Tanrısı) George Laskaris - Color Atlas of Oral Diseases- Diagnosis and Treatment-Thieme (2017)_00221_00884.png,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",Behcets disease,0,6,0.8,m1
76,pubmed/a5_e7_PMC5004559_CCD-7-401-g002_1.jpg,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",Mucocele,0,6,0.9,m1
77,pubmed/13_ca_PMC6106674_abd-93-05-0726-g01_3.jpg,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",no definitive diagnosis,0,-1,0.0,none
78,pubmed/e3_11_PMC4147289_GRP2014_934159.003.png,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",no definitive diagnosis,0,-1,0.0,none
79,youtube/UsoXCLoC0bQ_frame_23401_2.jpg,ulcer,"reaction patterns and descriptive terms, ulcers, ulcer, erosion of skin",no definitive diagnosis,0,-1,0.4,none
80,youtube/IXZC_NOKpq0_frame_38432_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.0,none
81,youtube/XYW6aQervTY_frame_50_0_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis","Melasma, Lentigo",0,8,0.9,m1
82,youtube/y1SpcTyifcU_frame_64505_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.25,none
83,youtube/CKj3GPY9dvc_frame_480_0_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.25,none
84,youtube/WSjmXzl22Pk_frame_8766_0_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.0,none
85,public/tinea-incognito-51.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",no definitive diagnosis,0,-1,0.2,none
86,public/tinea-versicolor-162.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",no definitive diagnosis,0,-1,0.25,none
87,public/tinea-foot-webs-11.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",no definitive diagnosis,0,-1,0.0,none
88,public/tinea-groin-120.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",Tinea cruris,0,-1,0.9,none
89,public/tinea-foot-dorsum-4.jpg,"candidiasis, tinea","inflammatory, infectious, fungal, candidiasis, tinea",no definitive diagnosis,0,-1,0.0,none
90,youtube/iZrp1daJWk0_frame_15452_0.jpg,tinea,"inflammatory, infectious, fungal, dermatophyte infections, tinea",no definitive diagnosis,0,-1,0.0,none
91,edu/Illustrated-Manual-of-Pediatric-Dermatology-Diagno...-批量 OCR_00166_10141.png,tinea,"inflammatory, infectious, fungal, tinea",no definitive diagnosis,0,-1,0.2,none
92,youtube/1rQ9PmDOrSs_frame_11842_2.jpg,tinea,"inflammatory, infectious, fungal, dermatophyte infections, tinea",Tinea corporis,0,2,0.9,m1
93,youtube/609D9bQFAtc_frame_56165_0.jpg,tinea,"inflammatory, infectious, fungal, dermatophyte infections, tinea","Lichen simplex chronicus, ",0,6,0.5,m1
94,public/-5081790413284637815.png,tinea,"inflammatory, infectious, fungal, tinea",Dermatitis (acute and chronic),0,4,0.7,m1
95,youtube/zzxJOYcnQ6g_frame_1727_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",no definitive diagnosis,0,-1,0.0,none
96,youtube/EU7EEKXaFcg_frame_42145_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",no definitive diagnosis,0,-1,0.2,none
97,youtube/zHIWVerNenY_frame_735_0_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",Exfoliative dermatitis,0,5,0.9,m1
98,youtube/QjNDAQVm9Ys_frame_9240_0_0.jpg,scabies,"inflammatory, infectious, parasitic, scabies",Acute vesicular dermatitis,0,5,0.9,m1
99,IIYI/10883_2.png,scabies,"inflammatory, infectious, parasitic, scabies",no definitive diagnosis,0,-1,0.2,none
