sample_id,filename,ground_truth,hierarchical_gt,m1_pred,m1_exact,m1_dist,m1_conf,m2_pred,m2_exact,m2_dist,m2_conf,m3_pred,m3_exact,m3_dist,m3_conf,m4_pred,m4_exact,m4_dist,m4_conf,m5_pred,m5_exact,m5_dist,m5_conf,best_method
22,IIYI/1587_2.png,eczema,"inflammatory, non-infectious, eczema",Scalp psoriasis,0,3,0.8,Erosive pustular dermatosis of the scalp,0,2,0.8,no definitive diagnosis,0,-1,0.6,Inflammatory dermatosis,0,3,0.5,no definitive diagnosis,0,-1,0.5,m2
23,public/stasis-dermatitis-20.jpg,eczema,"inflammatory, non-infectious, eczema",Stasis dermatitis,0,2,0.9,Stasis dermatitis,0,2,0.9,eczema (with possible lichenification),0,-1,0.8,"Chronic dermatitis, NOS",0,3,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
24,youtube/uzcGVrNYLaI_frame_343_0_0.jpg,eczema,"inflammatory, non-infectious, eczema",Psoriasis (plaque),0,3,0.9,Psoriasis,0,2,0.9,psoriasis,0,2,0.9,Psoriasis,0,2,0.5,no definitive diagnosis,0,-1,0.5,m2/m3/m4
25,public/ISIC_1842966.JPG,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.6,Basal cell carcinoma,0,0,0.5,no definitive diagnosis,0,-1,0.5,m4
26,public/ISIC_0022074.JPG,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",no definitive diagnosis,0,-1,0.0,Dermatosis papulosa nigra,0,2,0.8,no definitive diagnosis,0,-1,0.4,Dysplastic nevus,0,4,0.5,no definitive diagnosis,0,-1,0.5,m2
27,youtube/ibybqKzOz54_frame_5920_1.jpg,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",Basal cell carcinoma,0,0,0.8,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,Basal cell carcinoma,0,0,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
28,public/ISIC_0022408.JPG,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.4,no definitive diagnosis,0,-1,0.5,Basal cell carcinoma,0,0,0.5,no definitive diagnosis,0,-1,0.5,m4
29,youtube/jt3qSMam07o_frame_4640_1.jpg,basal cell carcinoma,"proliferations, malignant, non-melanocytic, basal cell carcinoma",Basal cell carcinoma,0,0,0.9,Basal cell carcinoma,0,0,0.8,no definitive diagnosis,0,-1,0.6,Basal cell carcinoma,0,0,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
30,youtube/ZkntcZt0aho_frame_58923_1.jpg,proliferations,proliferations,Irritant contact dermatitis,0,5,0.9,Contact dermatitis,0,5,0.8,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
31,youtube/ue12XjkOV_E_frame_48562_0_0.jpg,proliferations,proliferations,Eczema,0,4,0.8,Actinic keratosis,0,3,0.75,eczema,0,4,0.8,"Chronic dermatitis, NOS",0,3,0.5,no definitive diagnosis,0,-1,0.5,m2/m4
32,youtube/BZ21v4OaWpM_frame_21990_2.jpg,proliferations,proliferations,Angioedema,0,-1,0.9,Angular cheilitis,0,4,0.8,cheilitis glandularis,0,-1,0.8,Mucocele,0,2,0.5,no definitive diagnosis,0,-1,0.5,m4
33,youtube/4DN_SfwZZXU_frame_19788_0_0.jpg,proliferations,proliferations,no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.2,no definitive diagnosis,0,-1,0.0,Foreign body reaction of the skin,0,3,0.5,no definitive diagnosis,0,-1,0.5,m4
34,youtube/oa3o-pGMz-U_frame_0_0.jpg,proliferations,proliferations,Eczema,0,4,0.8,Infantile atopic dermatitis,0,5,0.85,no definitive diagnosis,0,-1,0.3,Acute vesicular dermatitis,0,4,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
35,"edu/Argenziano, Giuseppe- Giacomel, Jason- Zalaudek, Iris - Dermatoscopy of Non-Pigmented Skin Tumors - Pink - Think - Blink.-CRC Press (2015)_00030_07186_1.jpg",squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,Basal cell carcinoma,0,2,0.5,no definitive diagnosis,0,-1,0.5,m4
36,youtube/1O4E-aTIIiY_frame_8598_0.jpg,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",Ulcer,0,7,0.7,no definitive diagnosis,0,-1,0.4,no definitive diagnosis,0,-1,0.3,"Ecthyma, ecthyma gangrenosum",0,9,0.5,no definitive diagnosis,0,-1,0.5,m1
37,youtube/ydZgOLJuf6U_frame_43277_1.jpg,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",Central centrifugal cicatricial alopecia,0,6,0.9,Central centrifugal cicatricial alopecia,0,6,0.9,no definitive diagnosis,0,-1,0.6,Central centrifugal cicatricial alopecia,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
38,youtube/EScWfQK7pvA_frame_36436_0.jpg,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",Alopecia areata,0,6,0.8,Alopecia areata,0,6,0.9,no definitive diagnosis,0,-1,0.5,Central centrifugal cicatricial alopecia,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
39,public/ISIC_0021072.JPG,squamous cell carcinoma,"proliferations, malignant, non-melanocytic, squamous cell carcinoma",no definitive diagnosis,0,-1,0.0,Contact dermatitis,0,8,0.8,no definitive diagnosis,0,-1,0.4,Exfoliative dermatitis,0,7,0.5,no definitive diagnosis,0,-1,0.5,m4
40,IIYI/20486_2.png,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",Pityriasis rosea,0,6,0.8,Pityriasis rosea,0,6,0.8,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
41,public/-1542787778564695920.png,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",no definitive diagnosis,0,-1,0.0,Erythema migrans,0,8,0.85,no definitive diagnosis,0,-1,0.4,Exfoliative dermatitis,0,6,0.5,no definitive diagnosis,0,-1,0.5,m4
42,youtube/EHC3ejfvcrY_frame_3125_0_0.jpg,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",Rosacea,0,6,0.9,Acne vulgaris,0,6,0.9,no definitive diagnosis,0,-1,0.6,Acute vesicular dermatitis,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
43,youtube/sdvE0xFsk7U_frame_896_0_0.jpg,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",Pityriasis rosea,0,6,0.8,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,Acute vesicular dermatitis,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
44,youtube/eH4cE2rg_ak_frame_29458_1.jpg,urticaria,"reaction patterns and descriptive terms, hypersensitivity, allergic reaction, urticaria",no definitive diagnosis,0,-1,0.0,Acanthosis nigricans,0,3,0.9,no definitive diagnosis,0,-1,0.4,"Chronic dermatitis, NOS",0,5,0.5,no definitive diagnosis,0,-1,0.5,m2
45,youtube/d-nF_cZBgBY_frame_31402_0_0.jpg,lichen planus,"inflammatory, non-infectious, lichen planus",Psoriasis,0,2,0.8,Pustular psoriasis,0,3,0.9,lichen planus,1,0,0.8,Psoriasis,0,2,0.5,no definitive diagnosis,0,-1,0.5,m3
46,youtube/tMQAGKMxUEw_frame_73886_0.jpg,lichen planus,"inflammatory, non-infectious, lichen planus",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.4,no definitive diagnosis,0,-1,0.4,Blue nevus,0,7,0.5,no definitive diagnosis,0,-1,0.5,m4
47,pubmed/a4_f4_PMC8859620_JOMFP_25_383_g004.png,lichen planus,"inflammatory, non-infectious, lichen planus",no definitive diagnosis,0,-1,0.0,Angular cheilitis,0,2,0.8,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m2
48,youtube/jDTD1kfijoY_frame_17131_0_0.jpg,lichen planus,"inflammatory, non-infectious, lichen planus",Xerosis,0,5,0.9,Ichthyosis,0,5,0.9,no definitive diagnosis,0,-1,0.6,Exfoliative dermatitis,0,4,0.5,no definitive diagnosis,0,-1,0.5,m4
49,IIYI/10730_4.png,lichen planus,"inflammatory, non-infectious, lichen planus","Lichen simplex chronicus, ",0,3,0.9,"Lichen simplex chronicus,",0,3,0.9,no definitive diagnosis,0,-1,0.6,"Chronic dermatitis, NOS",0,3,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
50,public/warts-common-39.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",Skin tag,0,8,0.9,Cutaneous horn,0,6,0.9,acrochordon (skin tag),0,-1,0.9,Skin tag,0,8,0.5,no definitive diagnosis,0,-1,0.5,m2
51,IIYI/29217_1.png,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",Cutaneous larva migrans,0,4,0.9,Cutaneous larva migrans,0,4,0.9,milia,0,8,0.9,Molluscum contagiosum,0,0,0.5,no definitive diagnosis,0,-1,0.5,m4
52,public/herpes-type-1-recurrent-94.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",Herpes simplex virus,0,2,0.9,Herpes simplex virus,0,2,0.9,Herpes labialis,0,-1,0.9,Herpes simplex virus,0,2,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
53,public/warts-common-64.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",Kaposi sarcoma,0,8,0.9,Dermatofibroma,0,8,0.9,possible viral wart (verrucae vulgaris),0,-1,0.8,Scleromyxedema,0,8,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
54,public/corns-26.jpg,molluscum contagiosum,"inflammatory, infectious, viral, molluscum contagiosum",Tinea pedis,0,4,0.9,Tinea pedis,0,4,0.85,no definitive diagnosis,0,-1,0.5,Acute vesicular dermatitis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
55,"note/Diane Jackson-Richards, Amit G. Pandya (eds.) - Dermatology Atlas for Skin of Color-Springer-Verlag Berlin Heidelberg (2014)_00020_00168_0.png",vitiligo,"reaction patterns and descriptive terms, vitiligo",Post-inflammatory hypopigmentation,0,3,0.8,Post-inflammatory hypopigmentation,0,3,0.8,hypopigmented macular lesion,0,-1,0.8,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2
56,youtube/ughfUshyayw_frame_4579_0_0.jpg,vitiligo,"reaction patterns and descriptive terms, vitiligo",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.0,none
57,youtube/dmTY89DBhAg_frame_41032_0.jpg,vitiligo,"reaction patterns and descriptive terms, vitiligo",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.0,none
58,note/疑难皮肤病彩色图谱OCR_00257_14590_0.png,vitiligo,"reaction patterns and descriptive terms, vitiligo",Lichen planus,0,5,0.8,Darier-White disease,0,4,0.9,no definitive diagnosis,0,-1,0.6,Neurofibromatosis,0,4,0.5,Café au lait macule,0,6,0.9,m2/m4
59,pubmed/9f_db_PMC6927254_CCID-12-911-g0002_1.jpg,vitiligo,"reaction patterns and descriptive terms, vitiligo",Vitiligo,0,0,0.9,Post-inflammatory hypopigmentation,0,3,0.9,vitiligo,1,0,0.9,"lichen sclerosis et atrophicus, Lichen sclerosus et atrophicus",0,5,0.5,no definitive diagnosis,0,-1,0.5,m1/m3
60,public/sebaceous-hyperplasia-71.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",Basal cell carcinoma,0,3,0.9,Basal cell carcinoma,0,3,0.9,no definitive diagnosis,0,-1,0.7,Basal cell carcinoma,0,3,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
61,public/seborrheic-keratosis-irritated-33.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses","Malignant melanoma, melanoma",0,5,0.9,Seborrheic keratosis,0,1,0.9,no definitive diagnosis,0,-1,0.7,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m2
62,public/porokeratosis-31.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",Folliculitis,0,9,0.8,Folliculitis,0,9,0.8,folliculitis,0,9,0.8,Acute vesicular dermatitis,0,8,0.5,no definitive diagnosis,0,-1,0.5,m4
63,public/dermatofibroma-123.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",Dermatofibroma,0,3,0.9,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.6,Dermatofibroma,0,3,0.5,no definitive diagnosis,0,-1,0.5,m1/m4
64,public/epidermal-cyst-108.jpg,seborrheic keratoses,"proliferations, benign, non-melanocytic, seborrheic keratosis, seborrheic keratoses",Keratoacanthoma,0,3,0.9,Dilated pore of Winer,0,3,0.9,seborrheic keratosis,0,1,0.9,Compound nevus,0,5,0.5,no definitive diagnosis,0,-1,0.5,m3
65,public/Lichen-Sclerosus-Penis-4.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.6,balanitis,0,-1,0.8,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
66,public/Psoriasis-Chronic-Plaque-170.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",Psoriasis (plaque),0,-1,0.9,Psoriasis,0,-1,0.95,psoriasis,0,-1,0.9,Psoriasis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
67,public/Lichen-Sclerosis-Vulva-22.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",Candida intertrigo,0,-1,0.9,Intertrigo,0,-1,0.8,no definitive diagnosis,0,-1,0.6,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
68,public/Psoriasis-Guttate-75.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",Guttate psoriasis,0,-1,0.9,Guttate psoriasis,0,-1,0.9,no definitive diagnosis,0,-1,0.7,Viral exanthem,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
69,public/psoriasis-scalp-78.jpg,"lichen planus, psoriasis","inflammatory, non-infectious, lichen planus, psoriasis",Seborrheic dermatitis,0,-1,0.9,Actinic solar damage(actinic keratosis),0,-1,0.9,no definitive diagnosis,0,-1,0.7,"Chronic dermatitis, NOS",0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
70,IIYI/22269_2.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Herpes zoster,0,0,0.9,Herpes zoster,0,0,0.9,Herpes Zoster,0,0,0.9,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m3
71,IIYI/24063_2.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Lichen planus,0,5,0.8,"Chronic dermatitis, NOS",0,4,0.8,eczema (atopic dermatitis),0,-1,0.8,Acute vesicular dermatitis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m2
72,IIYI/830_3.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Folliculitis,0,4,0.8,Folliculitis,0,4,0.85,no definitive diagnosis,0,-1,0.5,Varicella,0,2,0.5,no definitive diagnosis,0,-1,0.5,m4
73,IIYI/25663_2.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Burn of skin,0,7,0.9,Bullous disease,0,5,0.8,no definitive diagnosis,0,-1,0.7,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m2
74,public/3730702458099585701.png,herpes zoster,"inflammatory, infectious, viral, herpes zoster",Psoriasis (plaque),0,6,0.8,Psoriasis (plaque),0,6,0.9,no definitive diagnosis,0,-1,0.6,Psoriasis,0,5,0.5,no definitive diagnosis,0,-1,0.5,m4
75,edu/(Eğitim Tanrısı) George Laskaris - Color Atlas of Oral Diseases- Diagnosis and Treatment-Thieme (2017)_00221_00884.png,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",Ulcer,0,0,0.9,Apthous ulcer,0,-1,0.9,aphthous ulcer,0,-1,0.9,Behcets disease,0,6,0.5,no definitive diagnosis,0,-1,0.5,m1
76,pubmed/a5_e7_PMC5004559_CCD-7-401-g002_1.jpg,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.6,Local infection of wound,0,4,0.5,no definitive diagnosis,0,-1,0.5,m4
77,pubmed/13_ca_PMC6106674_abd-93-05-0726-g01_3.jpg,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",no definitive diagnosis,0,-1,0.0,Cherry angioma,0,-1,0.8,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
78,pubmed/e3_11_PMC4147289_GRP2014_934159.003.png,ulcer,"reaction patterns and descriptive terms, ulcers, erosion of skin, ulcer",Geographic tongue,0,6,0.9,Geographic tongue,0,6,0.9,no definitive diagnosis,0,-1,0.5,Contact purpura,0,4,0.5,no definitive diagnosis,0,-1,0.5,m4
79,youtube/UsoXCLoC0bQ_frame_23401_2.jpg,ulcer,"reaction patterns and descriptive terms, ulcers, ulcer, erosion of skin",Cutaneous leishmaniasis,0,7,0.8,Cutaneous leishmaniasis,0,7,0.9,no definitive diagnosis,0,-1,0.6,Foreign body reaction of the skin,0,5,0.5,no definitive diagnosis,0,-1,0.5,m4
80,youtube/IXZC_NOKpq0_frame_38432_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.4,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,none
81,youtube/XYW6aQervTY_frame_50_0_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis","Actinic solar damage(actinic keratosis), Actinic keratosis",0,6,0.9,Actinic solar damage(pigmentation),0,6,0.9,solar lentigo,0,-1,0.9,Actinic solar damage(pigmentation),0,6,0.5,no definitive diagnosis,0,-1,0.5,m1/m2/m4
82,youtube/y1SpcTyifcU_frame_64505_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis","Ulcers, Erosion of skin",0,6,0.7,no definitive diagnosis,0,-1,0.3,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.5,m1
83,youtube/CKj3GPY9dvc_frame_480_0_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.6,Tonsillitis with tonsillar exudate,0,-1,0.9,Candidiasis,0,6,0.5,no definitive diagnosis,0,-1,0.5,m4
84,youtube/WSjmXzl22Pk_frame_8766_0_0.jpg,contact dermatitis,"inflammatory, non-infectious, eczema, contact dermatitis",no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.7,no definitive diagnosis,0,-1,0.0,no definitive diagnosis,0,-1,0.5,no definitive diagnosis,0,-1,0.0,none
