sample_id,filename,ground_truth,method,prediction,exact_match,hierarchical_similarity,tree_distance,common_ancestor,confidence,reasoning_summary
15,IIYI/66_1.png,psoriasis,baseline_labels,"Chronic dermatitis, NOS",0,0.25,3,inflammatory,0.85,"The image shows both hands with erythematous, scaly, and lichenified plaques primarily on the dorsal surfaces. There are areas of excoriation and hyperpigmentation, indicative of chronic dermatitis."
16,youtube/o1YUsJxsHdU_frame_138268_1.jpg,psoriasis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows multiple erythematous papules and excoriations on the lower leg and ankle area. There is evidence of skin irritation, possibly due to scratching or another cause of trauma. These findi"
17,youtube/7yKeNoCB8_E_frame_33920_1.jpg,psoriasis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.3,"The image appears to show a blurry, circular area with a darker spot in the center, but it is not clear enough to make a specific diagnosis of a skin condition."
18,youtube/iIhr9-LwS5Q_frame_11211_9.jpg,psoriasis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.2,The image does not clearly depict any specific skin lesions or patterns that allow for a confident diagnosis. The skin appears uniformly red without distinct lesions or textural changes typical of a p
19,youtube/Xl3sMLqhK30_frame_29964_5.jpg,psoriasis,baseline_labels,spider veins,0,0.0,5,root,0.9,"The image shows a small, purple cluster of superficial dilated blood vessels resembling spider veins."
20,public/5453977556464879778.png,eczema,baseline_labels,Insect bite,0,0.1667,5,inflammatory,0.8,"Erythematous, raised lesions on the ankle suggestive of reaction to insect bites. The surrounding area shows mild inflammation."
21,youtube/Z3Oa5mxfCOw_frame_15078_0_0.jpg,eczema,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.0,"The image does not show a clear skin lesion for analysis. The focus appears to be on another object, making diagnosis impossible."
22,IIYI/1587_2.png,eczema,baseline_labels,Erosive pustular dermatosis of the scalp,0,0.5,2,non-infectious,0.8,"The image shows an inflammatory condition on the scalp characterized by erosions and pustules, with areas of crusting and possible scarring. The appearance is consistent with erosive pustular dermatos"
23,public/stasis-dermatitis-20.jpg,eczema,baseline_labels,Stasis dermatitis,0,0.5,2,non-infectious,0.9,"The image shows a reddish-brown discoloration around the lower leg and ankle, with scaling, crusting, and thickening of the skin. These features are consistent with stasis dermatitis commonly associat"
24,youtube/uzcGVrNYLaI_frame_343_0_0.jpg,eczema,baseline_labels,Psoriasis,0,0.5,2,non-infectious,0.9,"The image shows red, scaly plaques located on the elbow, characteristic of psoriasis. The plaques have well-defined edges and are covered with silvery scales."
25,public/ISIC_1842966.JPG,basal cell carcinoma,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a magnified view of the scalp with diffuse erythema and scaling. Hair follicles are visible, but the exact nature of any lesions or abnormalities is unclear. It may suggest a scalp dis"
26,public/ISIC_0022074.JPG,basal cell carcinoma,baseline_labels,Dermatosis papulosa nigra,0,0.6,2,non-melanocytic,0.8,"The image shows a small, dark brown papule on the skin, consistent with dermatosis papulosa nigra. The lesion is surrounded by lighter areas and appears to be a benign growth."
27,youtube/ibybqKzOz54_frame_5920_1.jpg,basal cell carcinoma,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a pink area with visible vasculature and slight texture, but it's not clearly indicative of a specific skin condition from the provided list."
28,public/ISIC_0022408.JPG,basal cell carcinoma,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows a slightly erythematous, possibly scaly patch. The characteristics are not specific enough to confidently diagnose a particular skin condition from the provided list."
29,youtube/jt3qSMam07o_frame_4640_1.jpg,basal cell carcinoma,baseline_labels,Basal cell carcinoma,0,1.0,0,Basal cell carcinoma,0.8,"A raised, dome-shaped lesion with central ulceration and pearly borders, suggestive of basal cell carcinoma."
30,youtube/ZkntcZt0aho_frame_58923_1.jpg,proliferations,baseline_labels,Contact dermatitis,0,0.0,5,root,0.8,"The image shows an erythematous rash on the forearm. The area appears inflamed and may indicate irritation or an allergic reaction, consistent with contact dermatitis."
31,youtube/ue12XjkOV_E_frame_48562_0_0.jpg,proliferations,baseline_labels,Actinic keratosis,0,0.0,3,root,0.75,"The image shows a rough, scaly patch on the skin, typically indicative of actinic keratosis due to sun exposure. The area appears erythematous (reddish) with visible scaling."
32,youtube/BZ21v4OaWpM_frame_21990_2.jpg,proliferations,baseline_labels,Angular cheilitis,0,0.0,4,root,0.8,"The image shows inflamed and swollen lips with fissuring at the corners, indicative of angular cheilitis."
33,youtube/4DN_SfwZZXU_frame_19788_0_0.jpg,proliferations,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.2,The image shows an unclear and ambiguous view of a fleshy area that is not distinctly identifiable. No definitive skin lesion or condition can be diagnosed from the provided picture.
34,youtube/oa3o-pGMz-U_frame_0_0.jpg,proliferations,baseline_labels,Infantile atopic dermatitis,0,0.0,5,root,0.85,"The image shows an infant's arm with characteristic features of atopic dermatitis, including redness, small raised bumps, and dry patches. The skin appears irritated and potentially itchy."
35,"edu/Argenziano, Giuseppe- Giacomel, Jason- Zalaudek, Iris - Dermatoscopy of Non-Pigmented Skin Tumors - Pink - Think - Blink.-CRC Press (2015)_00030_07186_1.jpg",squamous cell carcinoma,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.5,The image shows a close-up view of skin with a pinkish-red area and some surrounding hair. The central area appears erythematous but lacks distinguishing features for a specific diagnosis.
36,youtube/1O4E-aTIIiY_frame_8598_0.jpg,squamous cell carcinoma,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows an irregular and erythematous area with crusting, possibly indicating inflammation or erosion. The exact condition is unclear without more context or additional clinical information."
37,youtube/ydZgOLJuf6U_frame_43277_1.jpg,squamous cell carcinoma,baseline_labels,Central centrifugal cicatricial alopecia,0,0.0,6,root,0.9,"The image shows hair loss with signs of scarring on the scalp, particularly affecting the central area. The pattern and characteristics suggest central centrifugal cicatricial alopecia, commonly seen "
38,youtube/EScWfQK7pvA_frame_36436_0.jpg,squamous cell carcinoma,baseline_labels,Alopecia areata,0,0.0,6,root,0.9,"There is noticeable hair loss on the scalp with a smooth bald patch, typical of alopecia areata."
39,public/ISIC_0021072.JPG,squamous cell carcinoma,baseline_labels,Contact dermatitis,0,0.0,8,root,0.8,"The image shows an area of erythematous (red) skin with possible mild scaling, indicating a localized inflammatory reaction typical of contact dermatitis."
40,IIYI/20486_2.png,urticaria,baseline_labels,Pityriasis rosea,0,0.0,6,root,0.8,"Multiple round to oval pink patches with indistinct borders scattered across the upper arm, resembling the classic presentation of pityriasis rosea."
41,public/-1542787778564695920.png,urticaria,baseline_labels,Erythema migrans,0,0.0,8,root,0.85,"The image shows a red, annular patch on the skin, suggestive of erythema migrans typically associated with early Lyme disease. The lesion has an expanding border that appears slightly raised."
42,youtube/EHC3ejfvcrY_frame_3125_0_0.jpg,urticaria,baseline_labels,Acne vulgaris,0,0.0,6,root,0.9,The image shows multiple erythematous papules and pustules consistent with acne vulgaris. The lesions are predominantly located in the perinasal region.
43,youtube/sdvE0xFsk7U_frame_896_0_0.jpg,urticaria,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows several irregular, pinkish patches on the forearm. There is mild erythema with no clear scaling, vesicles, or pustules. The appearance is nonspecific, which limits the ability to confi"
44,youtube/eH4cE2rg_ak_frame_29458_1.jpg,urticaria,baseline_labels,Acanthosis nigricans,0,0.25,3,reaction patterns and descriptive terms,0.9,"The image shows hyperpigmented, velvety plaques primarily on the inner thighs. This appearance is characteristic of acanthosis nigricans."
45,youtube/d-nF_cZBgBY_frame_31402_0_0.jpg,lichen planus,baseline_labels,Pustular psoriasis,0,0.4,3,non-infectious,0.9,"The image shows erythematous, inflamed skin on the palms, with numerous pustules and plaques. The affected area appears dry and scaly."
46,youtube/tMQAGKMxUEw_frame_73886_0.jpg,lichen planus,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows an indistinct, slightly discolored area possibly on skin but lacks enough detail for a definitive diagnosis."
47,pubmed/a4_f4_PMC8859620_JOMFP_25_383_g004.png,lichen planus,baseline_labels,Angular cheilitis,0,0.5,2,non-infectious,0.8,"Erythematous and potentially eroded lesions at the corners of the mouth, indicative of angular cheilitis."
48,youtube/jDTD1kfijoY_frame_17131_0_0.jpg,lichen planus,baseline_labels,Ichthyosis,0,0.0,5,root,0.9,"The image shows dry, scaly skin with a flaking appearance characteristic of ichthyosis. The surface is rough and covered with white, flaky scales."
49,IIYI/10730_4.png,lichen planus,baseline_labels,"Lichen simplex chronicus,",0,0.4,3,non-infectious,0.9,"The image shows areas of thickened, scaly, and hyperpigmented skin, indicative of lichenification due to chronic rubbing or scratching."
50,public/warts-common-39.jpg,molluscum contagiosum,baseline_labels,Cutaneous horn,0,0.0,6,root,0.9,"An outgrowth on the eyelid resembling a horn-like structure, which is characteristic of a cutaneous horn. The surrounding area appears to have normal skin texture."
51,IIYI/29217_1.png,molluscum contagiosum,baseline_labels,Cutaneous larva migrans,0,0.3333,4,infectious,0.9,"The image shows serpiginous, erythematous, raised tracks on the neck, indicative of cutaneous larva migrans, caused by the migration of larvae under the skin."
52,public/herpes-type-1-recurrent-94.jpg,molluscum contagiosum,baseline_labels,Herpes simplex virus,0,0.6,2,viral,0.9,"Cluster of vesicular lesions with a crusty appearance on the upper lip area, typical of herpes simplex virus infection."
53,public/warts-common-64.jpg,molluscum contagiosum,baseline_labels,Dermatofibroma,0,0.0,8,root,0.9,"The image shows multiple raised, firm nodules on the hand and fingers. The largest lesion is a darkly pigmented nodule on the dorsum of the hand. The other nodules are flesh-colored to brown."
54,public/corns-26.jpg,molluscum contagiosum,baseline_labels,Tinea pedis,0,0.3333,4,infectious,0.85,"The image shows scaling and redness on the skin of the foot, suggestive of tinea pedis, commonly known as athlete's foot."
55,"note/Diane Jackson-Richards, Amit G. Pandya (eds.) - Dermatology Atlas for Skin of Color-Springer-Verlag Berlin Heidelberg (2014)_00020_00168_0.png",vitiligo,baseline_labels,Post-inflammatory hypopigmentation,0,0.25,3,reaction patterns and descriptive terms,0.8,"The image shows a patch of lighter skin compared to the surrounding areas, possibly due to loss of pigment following an inflammatory event or skin injury."
56,youtube/ughfUshyayw_frame_4579_0_0.jpg,vitiligo,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.3,"The image shows a pinkish background with no clear or specific skin lesions identifiable. The surface appears uniform without distinct patterns, scaling, or other dermatological features."
57,youtube/dmTY89DBhAg_frame_41032_0.jpg,vitiligo,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.3,The image shows a section of skin with indistinct features and no clear lesions that can be confidently identified.
58,note/疑难皮肤病彩色图谱OCR_00257_14590_0.png,vitiligo,baseline_labels,Darier-White disease,0,0.0,4,root,0.9,"The image shows multiple keratotic papules distributed over the trunk and upper arms. The lesions are skin-colored to slightly hyperpigmented and have a greasy or warty appearance, typical of Darier-W"
59,pubmed/9f_db_PMC6927254_CCID-12-911-g0002_1.jpg,vitiligo,baseline_labels,Post-inflammatory hypopigmentation,0,0.25,3,reaction patterns and descriptive terms,0.9,"The image shows multiple hypopigmented patches on the dorsum of the hand, suggesting post-inflammatory hypopigmentation possibly due to a previous inflammatory skin condition."
60,public/sebaceous-hyperplasia-71.jpg,seborrheic keratoses,baseline_labels,Basal cell carcinoma,0,0.5,3,non-melanocytic,0.9,"The image shows a pearly, raised lesion with visible telangiectasia on the surface, which is typical for basal cell carcinoma."
61,public/seborrheic-keratosis-irritated-33.jpg,seborrheic keratoses,baseline_labels,Seborrheic keratosis,0,0.8,1,Seborrheic keratosis,0.9,"The image shows a sharply demarcated, raised, wart-like lesion with a verrucous surface and mottled pigmentation, commonly seen in seborrheic keratosis."
62,public/porokeratosis-31.jpg,seborrheic keratoses,baseline_labels,Folliculitis,0,0.0,9,root,0.8,"The image shows multiple small, red, and inflamed papules consistent with folliculitis on the legs."
63,public/dermatofibroma-123.jpg,seborrheic keratoses,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a round, raised, reddish-brown lesion with a central area of change. The surrounding skin appears normal with no significant scaling or crusting. Without additional context or diagnost"
64,public/epidermal-cyst-108.jpg,seborrheic keratoses,baseline_labels,Dilated pore of Winer,0,0.5,3,non-melanocytic,0.9,"A single, dilated pore with a central keratinous plug, surrounded by mildly erythematous skin."
65,public/Lichen-Sclerosus-Penis-4.jpg,"lichen planus, psoriasis",baseline_labels,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a smooth, slightly erythematous surface on the glans penis with no distinct lesions or abnormalities apparent."
66,public/Psoriasis-Chronic-Plaque-170.jpg,"lichen planus, psoriasis",baseline_labels,Psoriasis,0,0.0,-1,,0.95,"The image shows a well-demarcated, thick, erythematous plaque with silvery scales on the arm, consistent with psoriasis."
67,public/Lichen-Sclerosis-Vulva-22.jpg,"lichen planus, psoriasis",baseline_labels,Intertrigo,0,0.0,-1,,0.8,"The image shows erythematous, moist, and macerated skin in the inguinal region, suggesting an inflammatory condition consistent with intertrigo. The skin appears irritated, with possible secondary inf"
68,public/Psoriasis-Guttate-75.jpg,"lichen planus, psoriasis",baseline_labels,Guttate psoriasis,0,0.0,-1,,0.9,"The image shows multiple small, red, teardrop-shaped lesions scattered across the skin, consistent with guttate psoriasis. The lesions appear raised and are evenly distributed."
69,public/psoriasis-scalp-78.jpg,"lichen planus, psoriasis",baseline_labels,Actinic solar damage(actinic keratosis),0,0.0,-1,,0.9,"The image shows scaly, crusty growths on the scalp and neck, typical of actinic keratosis, often resulting from sun exposure. The lesions appear erythematous and rough."
70,IIYI/22269_2.png,herpes zoster,baseline_labels,Herpes zoster,0,1.0,0,Herpes zoster,0.9,"Clustered groups of vesicular lesions on an erythematous base, some crusted, distributed along a dermatome on the abdominal region, characteristic of shingles (Herpes zoster)."
71,IIYI/24063_2.png,herpes zoster,baseline_labels,"Chronic dermatitis, NOS",0,0.2,4,inflammatory,0.8,"The image shows an area of the forearm with multiple erythematous and slightly raised lesions. There is a mix of papules and some scaling, indicating possible chronic dermatitis. The distribution and "
72,IIYI/830_3.png,herpes zoster,baseline_labels,Folliculitis,0,0.3333,4,infectious,0.85,"The image shows multiple small red papules and pustules distributed on the upper back, consistent with folliculitis."
73,IIYI/25663_2.png,herpes zoster,baseline_labels,Bullous disease,0,0.1667,5,inflammatory,0.8,The image shows large fluid-filled blisters on the thigh. The skin around the blisters appears slightly erythematous.
74,public/3730702458099585701.png,herpes zoster,baseline_labels,Psoriasis (plaque),0,0.1429,6,inflammatory,0.9,"The image shows a thick plaque with a silvery scale located on the elbow, a common site for plaque psoriasis."
75,edu/(Eğitim Tanrısı) George Laskaris - Color Atlas of Oral Diseases- Diagnosis and Treatment-Thieme (2017)_00221_00884.png,ulcer,baseline_labels,Apthous ulcer,0,0.0,-1,,0.9,"Image shows an ulcerated lesion on the inner side of the lower lip's mucosa. The lesion is round with a white necrotic center and an erythematous halo, indicative of an apthous ulcer."
76,pubmed/a5_e7_PMC5004559_CCD-7-401-g002_1.jpg,ulcer,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.3,"The image shows an open mouth with a view of the oral cavity, including the tongue and dental structures. There is a reddish area at the back of the mouth, but it is difficult to identify any specific"
77,pubmed/13_ca_PMC6106674_abd-93-05-0726-g01_3.jpg,ulcer,baseline_labels,Cherry angioma,0,0.0,-1,,0.8,"The image shows multiple small, round, red papules on the skin, typical of cherry angiomas."
78,pubmed/e3_11_PMC4147289_GRP2014_934159.003.png,ulcer,baseline_labels,Geographic tongue,0,0.0,6,root,0.9,"The image shows a tongue with irregular, smooth, red patches reminiscent of a map, indicating geographic tongue."
79,youtube/UsoXCLoC0bQ_frame_23401_2.jpg,ulcer,baseline_labels,Cutaneous leishmaniasis,0,0.0,7,root,0.9,"The image shows multiple ulcerative lesions on the forearm. The lesions appear to be infiltrative, with raised and indurated edges, typical of cutaneous leishmaniasis."
80,youtube/IXZC_NOKpq0_frame_38432_0.jpg,contact dermatitis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a procedure being performed on the neck and upper chest area with a device emitting light. There is some redness visible, but no clear skin lesions are identifiable. This appearance co"
81,youtube/XYW6aQervTY_frame_50_0_0.jpg,contact dermatitis,baseline_labels,Actinic solar damage(pigmentation),0,0.0,6,root,0.9,"The image shows multiple well-defined, brown pigmented macules and patches on the facial skin, indicative of sun-induced pigmentation changes typically seen in actinic damage."
82,youtube/y1SpcTyifcU_frame_64505_0.jpg,contact dermatitis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.3,"The image shows a person with a significant area of dark discoloration on the nose and surrounding area. The individual has monitoring equipment attached to the chest, indicating a medical setting. Ho"
83,youtube/CKj3GPY9dvc_frame_480_0_0.jpg,contact dermatitis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows the inside of a mouth with visible tonsillar tissue covered in white exudate, indicative of a possible infection or inflammation, such as tonsillitis or pharyngitis. However, without m"
84,youtube/WSjmXzl22Pk_frame_8766_0_0.jpg,contact dermatitis,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.7,"The image shows a surgical procedure being performed on the skin, with a visible incision and use of surgical instruments. There are no clear identifying features of a specific skin condition visible."
85,public/tinea-incognito-51.jpg,"candidiasis, tinea",baseline_labels,Tinea cruris,0,0.0,-1,,0.9,"The image shows a reddish, scaly, and well-demarcated rash located in the inner thigh and groin area, consistent with Tinea cruris, a common fungal infection."
86,public/tinea-versicolor-162.jpg,"candidiasis, tinea",baseline_labels,Dermatosis papulosa nigra,0,0.0,-1,,0.9,"The image shows numerous small, dark, papular lesions distributed across the upper back. These lesions are characteristic of dermatosis papulosa nigra, a benign skin condition."
87,public/tinea-foot-webs-11.jpg,"candidiasis, tinea",baseline_labels,Tinea pedis,0,0.0,-1,,0.9,"The image shows peeling and maceration of skin between the toes, with whitish and moist appearance, indicative of a fungal infection commonly known as athlete's foot."
88,public/tinea-groin-120.jpg,"candidiasis, tinea",baseline_labels,Tinea cruris,0,0.0,-1,,0.9,"The image shows a well-demarcated, erythematous plaque with scaling, typical of fungal infections in the groin area, commonly known as 'jock itch'."
89,public/tinea-foot-dorsum-4.jpg,"candidiasis, tinea",baseline_labels,Eczema,0,0.0,-1,,0.85,"The image shows red, scaly patches and potential lichenification on the heel, characteristic of eczema."
90,youtube/iZrp1daJWk0_frame_15452_0.jpg,tinea,baseline_labels,Scalp psoriasis,0,0.1429,6,inflammatory,0.9,"The image shows thick, silver-white scaling on the scalp, typical of scalp psoriasis. There are areas of exposed skin indicative of underlying erythema."
91,edu/Illustrated-Manual-of-Pediatric-Dermatology-Diagno...-批量 OCR_00166_10141.png,tinea,baseline_labels,Acne keloidalis nuchae,0,0.1667,5,inflammatory,0.9,"The image shows multiple, small, raised papules on the nape of the neck. The area appears slightly inflamed and hyperpigmented, commonly indicative of Acne keloidalis nuchae."
92,youtube/1rQ9PmDOrSs_frame_11842_2.jpg,tinea,baseline_labels,Erythema migrans,0,0.2857,5,infectious,0.9,"The image shows two oval, red patches with distinct borders and central clearing, indicative of erythema migrans, often associated with early Lyme disease."
93,youtube/609D9bQFAtc_frame_56165_0.jpg,tinea,baseline_labels,Chilblain,0,0.0,7,root,0.8,"The image shows redness and swelling on the toes, which may indicate chilblains, a condition caused by cold exposure."
94,public/-5081790413284637815.png,tinea,baseline_labels,Tinea corporis,0,0.6,2,fungal,0.8,"The image shows a round, red, scaly patch with a slightly clearer central area on the upper back. The lesion suggests a possible fungal infection, commonly known as ringworm."
95,youtube/zzxJOYcnQ6g_frame_1727_0.jpg,scabies,baseline_labels,Lichen planus,0,0.1667,5,inflammatory,0.8,"The image shows multiple small, flat-topped, reddish-brown papules on the wrist, which are characteristic of lichen planus."
96,youtube/EU7EEKXaFcg_frame_42145_0.jpg,scabies,baseline_labels,Infantile atopic dermatitis,0,0.1429,6,inflammatory,0.9,"The image shows an infant with erythematous, scaly patches and excoriations on the cheek, which are characteristic of atopic dermatitis in young children."
97,youtube/zHIWVerNenY_frame_735_0_0.jpg,scabies,baseline_labels,Erythroderma,0,0.0,-1,,0.9,"The image shows extensive redness and scaling on the neck and upper back. The skin appears thickened with notable flaking, consistent with erythroderma, which can have various underlying causes such a"
98,youtube/QjNDAQVm9Ys_frame_9240_0_0.jpg,scabies,baseline_labels,Hand foot and mouth disease,0,0.3333,4,infectious,0.9,"The image shows the soles of a child's feet with red spots and patches, consistent with the rash associated with hand, foot, and mouth disease."
99,IIYI/10883_2.png,scabies,baseline_labels,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows a forearm with subtle erythematous spots that are not clearly defined, making it difficult to identify a specific skin condition."
0,pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,no definitive diagnosis,baseline_no_labels,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.0,"The image shows the rear of an animal, possibly a horse, including the tail and surrounding body area. No specific human skin findings are present."
1,youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,no definitive diagnosis,baseline_no_labels,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.7,"The image depicts a person with a device applied to the neck region. The skin appears erythematous and moist, typical of a cosmetic or medical treatment being applied. Protective eyewear indicates a p"
2,pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,no definitive diagnosis,baseline_no_labels,Melanonychia,0,0.0,-1,,0.8,There is a pigmented line running vertically from the cuticle to the tip of the nail. The line is dark and well circumscribed.
3,pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,no definitive diagnosis,baseline_no_labels,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.6,Erythematous area on the left cheek and jawline with sharply demarcated borders. The skin appears slightly scaly with some superficial dryness.
4,youtube/0JGlIffYRuM_frame_4049_0.jpg,no definitive diagnosis,baseline_no_labels,Basal Cell Carcinoma,0,0.0,-1,,0.9,"The image shows a nodular lesion with a pearly appearance and telangiectasia on the surface. The lesion is pink and appears ulcerated at the center, which is characteristic of a basal cell carcinoma."
5,youtube/TyY1qef8dIM_frame_562_0.jpg,allergic contact dermatitis,baseline_no_labels,no definitive diagnosis,0,0.0,-1,,0.6,The image shows multiple erythematous plaques with some vesicular and pustular lesions distributed on the skin of the upper limb.
6,youtube/y06F3fLlDzM_frame_2891_0_0.jpg,allergic contact dermatitis,baseline_no_labels,no definitive diagnosis,0,0.0,-1,,0.5,"The skin on the upper arm appears slightly rough and shows multiple small, discrete papules and mild erythema. Overall texture seems normal, with no significant lesions observed."
7,youtube/TL_AhJVL7Xg_frame_3317_1.jpg,allergic contact dermatitis,baseline_no_labels,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows the toes with dry, thickened skin and some discoloration under the toenails. There is scaling and possibly some swelling around the digits."
8,youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,allergic contact dermatitis,baseline_no_labels,no definitive diagnosis,0,0.0,-1,,0.7,"The image shows extensive, thickened, scaly plaques over the chest and upper arms. The skin appears dry and heavily desquamated. The affected areas are widespread and there is evidence of inflammation"
9,youtube/RBEULrR75Ic_frame_51337_1.jpg,allergic contact dermatitis,baseline_no_labels,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows a reddish discoloration on the side of the face. The exact nature of the skin change is unclear, and no specific lesions or distinct features are discernible."
10,youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",baseline_no_labels,seborrheic keratosis,0,0.8,1,Seborrheic keratosis,0.8,"The image shows two well-defined, pigmented lesions that appear wart-like and have a stuck-on appearance. They vary slightly in color but are generally light to dark brown."
