sample_id,filename,ground_truth,method,prediction,exact_match,hierarchical_similarity,tree_distance,common_ancestor,confidence,reasoning_summary
10,youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",sam_baseline,suspected seborrheic keratosis,0,0.0,-1,,0.9,"The image shows two well-defined, pigmented, and slightly raised lesions with a waxy and wart-like appearance. These characteristics are typical of seborrheic keratosis."
11,youtube/KC3Yyxprz20_frame_10935_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",sam_baseline,spider veins,0,0.0,7,root,0.9,"The image shows the presence of superficial, small, and twisted veins, also known as spider veins, located on the legs. A medical procedure appears to be underway, likely involving the injection of a "
12,youtube/s0YmSISoUug_frame_3817_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows an upper eyelid with eyelashes, but no clear skin lesion or definable condition is visible."
13,youtube/v3Hn2eplsiw_frame_67623_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",sam_baseline,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows numerous red, scattered macules and papules on the skin surface without any distinct pattern. The texture appears rough and erythematous, but further clinical information would be nece"
14,note/Sewon-Kang-Fitzpatrick’s-Dermatology[2-Volume Set]-McGraw-Hil-Education(2019)-part8_00290_03575_0.png,"irritated seborrheic keratosis (from ""sk/isk"")",sam_baseline,no definitive diagnosis,0,0.0,-1,,0.7,"The image shows a prominent lesion on the forehead that appears to be ulcerated with surrounding erythema. The appearance might suggest conditions such as a keratoacanthoma or squamous cell carcinoma,"
15,IIYI/66_1.png,psoriasis,sam_baseline,psoriasis,1,1.0,0,Psoriasis,0.9,"The image shows both hands with erythematous, scaly plaques and patches. The skin appears to be dry and cracked, especially on extensor surfaces. There are areas of thickening and scaling, typical of "
16,youtube/o1YUsJxsHdU_frame_138268_1.jpg,psoriasis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows multiple small, red, crusted lesions scattered on the lower leg and ankle area. Some lesions appear more excoriated, suggesting possible scratching or trauma. The distribution and appe"
17,youtube/7yKeNoCB8_E_frame_33920_1.jpg,psoriasis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.1,The image does not clearly show identifiable human skin or a specific skin lesion.
18,youtube/iIhr9-LwS5Q_frame_11211_9.jpg,psoriasis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.3,"The image shows an area of red, patchy skin with no distinct lesions or patterns that are clearly diagnosable."
19,youtube/Xl3sMLqhK30_frame_29964_5.jpg,psoriasis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.4,The image shows a small purple patch on skin with no clear distinguishing features that can lead to a definitive dermatological diagnosis. Possible differentials could include a benign neoplasm or a s
20,public/5453977556464879778.png,eczema,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a reddish patch on the left ankle with some small, clustered lesions. The patch appears slightly elevated with areas of excoriation."
21,youtube/Z3Oa5mxfCOw_frame_15078_0_0.jpg,eczema,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.0,The image does not show identifiable human skin or a clear skin lesion.
22,IIYI/1587_2.png,eczema,sam_baseline,seborrheic dermatitis,0,0.75,1,Eczema,0.8,"The image shows the scalp with diffuse erythema and scaling, with areas of crusting. These findings are consistent with seborrheic dermatitis."
23,public/stasis-dermatitis-20.jpg,eczema,sam_baseline,chronic eczema,0,0.0,-1,,0.9,"The image shows inflamed, erythematous patches with scaling and crusting on the lower leg and ankle. The skin appears thickened with areas of lichenification and some hyperpigmentation. These characte"
24,youtube/uzcGVrNYLaI_frame_343_0_0.jpg,eczema,sam_baseline,plaque psoriasis,0,0.0,-1,,0.9,"The image shows well-demarcated, raised, reddish plaques with silvery scaling located on the elbow."
25,public/ISIC_1842966.JPG,basal cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows an area of skin with a pinkish hue, with some shiny and irregular surfaces. There are visible hair follicles. Lesions are not clearly defined, and the condition is indeterminate."
26,public/ISIC_0022074.JPG,basal cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a skin area with uneven pigmentation, including a central darker brown spot. The surrounding skin has light redness and other patches of varying brown coloration. However, the image la"
27,youtube/ibybqKzOz54_frame_5920_1.jpg,basal cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.4,"The image shows an area with pink discoloration and visible superficial blood vessels. There are dotted lines surrounding sections of the skin, but there is insufficient detail to confidently diagnose"
28,public/ISIC_0022408.JPG,basal cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a pink, circular area on the skin with some slight scaling, but it is not distinct enough for a confident diagnosis."
29,youtube/jt3qSMam07o_frame_4640_1.jpg,basal cell carcinoma,sam_baseline,basal cell carcinoma,1,1.0,0,Basal cell carcinoma,0.85,"The image shows a pearly, dome-shaped papule with rolled borders and central ulceration, typical of basal cell carcinoma. The lesion has a shiny, translucent appearance."
30,youtube/ZkntcZt0aho_frame_58923_1.jpg,proliferations,sam_baseline,contact dermatitis,0,0.0,5,root,0.8,"The image shows an area of the forearm with red, inflamed, and slightly raised patches suggesting an irritant or allergic contact dermatitis. The borders are somewhat well-defined, which can be charac"
31,youtube/ue12XjkOV_E_frame_48562_0_0.jpg,proliferations,sam_baseline,eczema,0,0.0,4,root,0.9,"The image shows areas of erythematous, dry, and scaly skin consistent with eczema. The skin surface appears lichenified, likely due to chronic scratching."
32,youtube/BZ21v4OaWpM_frame_21990_2.jpg,proliferations,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows lips with some swelling present, but there is no distinct or definitive skin lesion visible to confidently diagnose a specific condition."
33,youtube/4DN_SfwZZXU_frame_19788_0_0.jpg,proliferations,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,
34,youtube/oa3o-pGMz-U_frame_0_0.jpg,proliferations,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows skin with fine bumps, slight redness, and possibly dry texture on an arm or leg. However, the condition is not sufficiently clear to determine a specific diagnosis."
35,"edu/Argenziano, Giuseppe- Giacomel, Jason- Zalaudek, Iris - Dermatoscopy of Non-Pigmented Skin Tumors - Pink - Think - Blink.-CRC Press (2015)_00030_07186_1.jpg",squamous cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.3,"The image shows a pinkish area with some redness and hair, but no clear or specific skin lesion is identifiable to diagnose a particular condition."
36,youtube/1O4E-aTIIiY_frame_8598_0.jpg,squamous cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,The image shows an erythematous and crusted area with some brownish spots and possible ulceration. The characteristics are nonspecific and do not lead to a definitive diagnosis without additional clin
37,youtube/ydZgOLJuf6U_frame_43277_1.jpg,squamous cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,The image shows an area on the scalp with some hair thinning and possible scaling or crusting. There are no distinct patterns that lead to a specific diagnosis.
38,youtube/EScWfQK7pvA_frame_36436_0.jpg,squamous cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows the top of a head with a pattern of hair loss, primarily at the crown area. Scalp skin appears normal with some hair thinning or loss visible."
39,public/ISIC_0021072.JPG,squamous cell carcinoma,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,The image shows a patch of erythematous skin with scattered redness and slight scaling. Several vellus hairs are visible near the affected area. The condition appears superficial but lacks distinct fe
40,IIYI/20486_2.png,urticaria,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"Multiple, irregular, and confluent patches of erythema are observed on the upper back or shoulder region. The discoloration appears superficial and lacks scaling or distinct borders."
41,public/-1542787778564695920.png,urticaria,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows an area of skin with pinkish, slightly elevated patches. The texture appears mildly uneven, but without clear or distinct lesions."
42,youtube/EHC3ejfvcrY_frame_3125_0_0.jpg,urticaria,sam_baseline,rosacea,0,0.0,6,root,0.8,"The image shows erythematous patches with scattered small papules and pustules on the cheek and nose area. The skin appears inflamed and there are visible telangiectasias, which are characteristic of "
43,youtube/sdvE0xFsk7U_frame_896_0_0.jpg,urticaria,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows multiple faint, red, irregularly-shaped patches on the forearm. The lesions are flat and do not appear to be raised or scaly. The overall appearance is suggestive but not definitive fo"
44,youtube/eH4cE2rg_ak_frame_29458_1.jpg,urticaria,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,The image shows hyperpigmented patches on the legs with no clear lesions or other distinct features visible.
45,youtube/d-nF_cZBgBY_frame_31402_0_0.jpg,lichen planus,sam_baseline,dyshidrotic eczema,0,0.0,-1,,0.9,"The image shows multiple small, fluid-filled blisters concentrated on the palms. The lesions appear red and inflamed, typical of dyshidrotic eczema, which causes itchy and sometimes painful blisters."
46,youtube/tMQAGKMxUEw_frame_73886_0.jpg,lichen planus,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.3,"The image shows a portion of skin with a ruler for scale. There appears to be a small, dark, irregularly shaped spot on the skin. However, the resolution and quality of the image make it difficult to "
47,pubmed/a4_f4_PMC8859620_JOMFP_25_383_g004.png,lichen planus,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,Image shows the oral cavity with no clear identification of a specific skin lesion or condition. The surrounding skin appears intact.
48,youtube/jDTD1kfijoY_frame_17131_0_0.jpg,lichen planus,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a reddish area with white scaling, which could suggest a condition like psoriasis or dermatitis, but without more context, a definitive diagnosis cannot be made."
49,IIYI/10730_4.png,lichen planus,sam_baseline,lichen planus,1,1.0,0,Lichen planus,0.85,"The image shows multiple violaceous, flat-topped papules with a shiny surface and some scaling, consistent with lichen planus."
50,public/warts-common-39.jpg,molluscum contagiosum,sam_baseline,skin tag,0,0.0,8,root,0.9,"The image shows a small, soft, flesh-colored growth on the eyelid. This appears to be a benign skin tag, which is common and generally harmless."
51,IIYI/29217_1.png,molluscum contagiosum,sam_baseline,milia,0,0.0,8,root,0.9,"The image shows multiple small, white to flesh-colored dome-shaped papules on the neck. These lesions are consistent with milia, which are keratin-filled cysts commonly seen in newborns but can occur "
52,public/herpes-type-1-recurrent-94.jpg,molluscum contagiosum,sam_baseline,herpes labialis,0,0.0,-1,,0.9,"Grouped vesicular lesions with an erythematous base are present on the upper lip and near the mouth. The lesions are characteristic of herpes simplex virus infection, commonly known as cold sores."
53,public/warts-common-64.jpg,molluscum contagiosum,sam_baseline,molluscum contagiosum,1,1.0,0,Molluscum contagiosum,0.9,"The image shows multiple dome-shaped, flesh-colored papules with central umbilication on the dorsum of the hand and fingers. One large lesion with a crusted surface is particularly prominent."
54,public/corns-26.jpg,molluscum contagiosum,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a slightly thickened area of skin with some scaling, localized on the plantar surface of the foot. There might be a subtle indent or lesion, but it is not clearly defined enough for a "
55,"note/Diane Jackson-Richards, Amit G. Pandya (eds.) - Dermatology Atlas for Skin of Color-Springer-Verlag Berlin Heidelberg (2014)_00020_00168_0.png",vitiligo,sam_baseline,vitiligo,1,1.0,0,Vitiligo,0.9,"The image shows a hypopigmented patch on the forearm, with well-defined margins, characteristic of vitiligo. The surrounding skin appears normal without signs of inflammation."
56,youtube/ughfUshyayw_frame_4579_0_0.jpg,vitiligo,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.3,The image does not clearly show identifiable human skin or any distinct skin lesion.
57,youtube/dmTY89DBhAg_frame_41032_0.jpg,vitiligo,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a patch of skin with no specific lesions or anomalies that can be clearly identified. The skin appears to have a natural texture with some hair, but no distinct features are visible."
58,note/疑难皮肤病彩色图谱OCR_00257_14590_0.png,vitiligo,sam_baseline,Keratosis Pilaris,0,0.0,4,root,0.9,"The image shows numerous small, rough, slightly red or skin-colored bumps scattered across the torso and upper arms, typical of keratosis pilaris. These are often seen on areas with hair follicles and"
59,pubmed/9f_db_PMC6927254_CCID-12-911-g0002_1.jpg,vitiligo,sam_baseline,vitiligo,1,1.0,0,Vitiligo,0.9,"The image shows hypopigmented patches on the skin of the hand, consistent with the loss of pigmentation characteristic of vitiligo."
60,public/sebaceous-hyperplasia-71.jpg,seborrheic keratoses,sam_baseline,basal cell carcinoma,0,0.5,3,non-melanocytic,0.9,"The image shows a pearly, flesh-colored papule with a slightly raised border and central depression, characteristic of basal cell carcinoma."
61,public/seborrheic-keratosis-irritated-33.jpg,seborrheic keratoses,sam_baseline,seborrheic keratosis,0,0.8,1,Seborrheic keratosis,0.9,"The image shows a well-circumscribed, slightly raised brown lesion with a warty surface and scattered black dots. There are areas of scaling and a verrucous appearance."
62,public/porokeratosis-31.jpg,seborrheic keratoses,sam_baseline,folliculitis,0,0.0,9,root,0.8,"Numerous small, red papules distributed across the legs, concentrated around hair follicles, consistent with folliculitis."
63,public/dermatofibroma-123.jpg,seborrheic keratoses,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.7,"The image shows a single, firm, red-brown nodule on the skin. There is a central depression, and the surrounding skin appears slightly elevated. Without further context or multiple images, a definitiv"
64,public/epidermal-cyst-108.jpg,seborrheic keratoses,sam_baseline,seborrheic keratosis,0,0.8,1,Seborrheic keratosis,0.9,"A raised, wart-like growth with a rough surface and a well-defined border. The lesion appears stuck onto the skin, with a brown color and a slightly hyperkeratotic surface."
65,public/Lichen-Sclerosus-Penis-4.jpg,"lichen planus, psoriasis",sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a smooth, shiny, pink glans with no obvious lesions or abnormalities visible."
66,public/Psoriasis-Chronic-Plaque-170.jpg,"lichen planus, psoriasis",sam_baseline,psoriasis,0,0.0,-1,,0.9,"The image shows a well-demarcated, raised, erythematous plaque covered with silvery scales on the forearm. The scales appear thick and are typical of psoriatic lesions."
67,public/Lichen-Sclerosis-Vulva-22.jpg,"lichen planus, psoriasis",sam_baseline,intertrigo,0,0.0,-1,,0.9,"The image shows erythematous, moist, and possibly macerated skin in the inguinal region. The area appears inflamed with some superficial erosions and is likely associated with friction and moisture."
68,public/Psoriasis-Guttate-75.jpg,"lichen planus, psoriasis",sam_baseline,folliculitis,0,0.0,-1,,0.9,"The image shows multiple small, red, raised papules scattered across the skin, primarily around hair follicles. The lesions appear to be inflammatory in nature."
69,public/psoriasis-scalp-78.jpg,"lichen planus, psoriasis",sam_baseline,seborrheic dermatitis,0,0.0,-1,,0.9,"The image shows erythematous, scaly plaques and patches on the scalp extending to the nape of the neck. The scales are greasy and white, typical of seborrheic dermatitis."
70,IIYI/22269_2.png,herpes zoster,sam_baseline,herpes zoster,1,1.0,0,Herpes zoster,0.9,"The image shows a cluster of red, blistering, and crusted lesions characteristic of herpes zoster, also known as shingles. The lesions follow a dermatomal pattern typically seen with this condition."
71,IIYI/24063_2.png,herpes zoster,sam_baseline,eczema,0,0.1667,5,inflammatory,0.8,"The image shows red, inflamed patches with small, raised bumps over the forearm. The skin appears dry and irritated."
72,IIYI/830_3.png,herpes zoster,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,Multiple scattered small red papules are seen on the back and upper torso. The lesions are evenly distributed and do not exhibit any specific pattern or unique features indicative of a single diagnosi
73,IIYI/25663_2.png,herpes zoster,sam_baseline,bullous impetigo,0,0.0,-1,,0.9,"The image shows multiple large, fluid-filled blisters with a yellowish appearance on the thigh. The surrounding skin is erythematous, and the blisters appear to be at different stages of rupture."
74,public/3730702458099585701.png,herpes zoster,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"There is a red, slightly raised patch with irregular borders and some scaling on the posterior aspect of the elbow. It appears inflammatory, but without clear features to confidently diagnose a specif"
75,edu/(Eğitim Tanrısı) George Laskaris - Color Atlas of Oral Diseases- Diagnosis and Treatment-Thieme (2017)_00221_00884.png,ulcer,sam_baseline,aphthous ulcer,0,0.0,-1,,0.9,"The image shows an inflamed area on the oral mucosa with a round, white central ulceration and an erythematous border, characteristic of an aphthous ulcer."
76,pubmed/a5_e7_PMC5004559_CCD-7-401-g002_1.jpg,ulcer,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows the interior of a mouth, including teeth and part of the tongue. There is an area of redness on the upper inner cheek or palate. However, without clearer signs, a specific skin conditi"
77,pubmed/13_ca_PMC6106674_abd-93-05-0726-g01_3.jpg,ulcer,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows multiple small, round, dark lesions scattered across the forearm. Lesion sizes are consistent, with some appearing slightly elevated. The surrounding skin appears normal without signs "
78,pubmed/e3_11_PMC4147289_GRP2014_934159.003.png,ulcer,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.3,"The image depicts the surface of a tongue with a smooth, moist texture. No distinct lesions or markings are clearly visible, making it difficult to provide a specific diagnosis."
79,youtube/UsoXCLoC0bQ_frame_23401_2.jpg,ulcer,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows multiple ulcerated lesions on the forearm, with areas of erythema and crusting. The lesions vary in size and appearance, indicating a potential infectious or inflammatory process."
80,youtube/IXZC_NOKpq0_frame_38432_0.jpg,contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.8,"The image shows a person undergoing a cosmetic or dermatological procedure on the neck and shoulder area using a device emitting red light. There is no clear skin lesion visible, and the redness appea"
81,youtube/XYW6aQervTY_frame_50_0_0.jpg,contact dermatitis,sam_baseline,solar lentigines,0,0.0,-1,,0.9,"Multiple brown, flat spots of varying sizes on the facial skin, consistent with solar lentigines caused by sun exposure."
82,youtube/y1SpcTyifcU_frame_64505_0.jpg,contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"There is a large, dark discoloration on the nose area of the face, with no additional identifiable skin lesions. The patient appears to be in a medical setting, potentially receiving treatment."
83,youtube/CKj3GPY9dvc_frame_480_0_0.jpg,contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,Image shows the oral cavity with what appears to be lesions or exudative material on the tonsils or at the back of the throat; exact diagnosis is unclear without more information.
84,youtube/WSjmXzl22Pk_frame_8766_0_0.jpg,contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,The image shows a surgical procedure with instruments and visible incision on the skin. The skin surface is slightly erythematous and there are no clear skin lesions that can be specifically diagnosed
85,public/tinea-incognito-51.jpg,"candidiasis, tinea",sam_baseline,tinea cruris,0,0.0,-1,,0.9,"The image shows a red, scaly rash with well-defined edges, primarily in the groin area. The lesions appear to be slightly raised and may have a clearer center and a more active, scaly border."
86,public/tinea-versicolor-162.jpg,"candidiasis, tinea",sam_baseline,no definitive diagnosis,0,0.0,-1,,0.7,"Multiple hyperpigmented macules and patches distributed across the back, some of which appear slightly raised."
87,public/tinea-foot-webs-11.jpg,"candidiasis, tinea",sam_baseline,tinea pedis (athlete's foot),0,0.0,-1,,0.9,"The image depicts macerated skin with scaling and peeling between the toes, typically indicative of tinea pedis. There is also noticeable redness and white discoloration."
88,public/tinea-groin-120.jpg,"candidiasis, tinea",sam_baseline,tinea cruris (jock itch),0,0.0,-1,,0.9,"The image shows a well-demarcated, scaly, erythematous plaque located in the groin area. The lesion has a raised and slightly peeling border, which is characteristic of a fungal infection of the skin."
89,public/tinea-foot-dorsum-4.jpg,"candidiasis, tinea",sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows the skin on the heel with multiple erythematous patches and papules. The skin appears scaly and dry, with some areas of mild lichenification. There is no clear indication of a specific"
90,youtube/iZrp1daJWk0_frame_15452_0.jpg,tinea,sam_baseline,severe psoriasis,0,0.0,-1,,0.9,"The image shows extensive thick, white scaling and plaques covering the scalp, with some underlying areas of erythema. The condition appears widespread over the scalp."
91,edu/Illustrated-Manual-of-Pediatric-Dermatology-Diagno...-批量 OCR_00166_10141.png,tinea,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows small, raised, erythematous papules on the neck, with some patchy hair loss and scaling on the scalp. These findings are non-specific and can be associated with various conditions such"
92,youtube/1rQ9PmDOrSs_frame_11842_2.jpg,tinea,sam_baseline,ringworm (tinea corporis),0,0.0,-1,,0.9,"The image shows two round, slightly raised reddish patches with central clearing. The lesions have a well-defined border with scaling, characteristic of a fungal infection like tinea corporis (ringwor"
93,youtube/609D9bQFAtc_frame_56165_0.jpg,tinea,sam_baseline,pernio (chilblains),0,0.0,-1,,0.9,"The image shows toes with erythematous (red) discoloration and slight swelling, commonly associated with pernio (chilblains) due to cold exposure."
94,public/-5081790413284637815.png,tinea,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows a faint, irregularly shaped reddish patch located on the back near the shoulder. There are no distinct patterns or features to confidently differentiate a specific dermatological condi"
95,youtube/zzxJOYcnQ6g_frame_1727_0.jpg,scabies,sam_baseline,lichen planus,0,0.1667,5,inflammatory,0.85,"Multiple small, flat-topped, violaceous papules on the wrist with a slight shiny appearance, characteristic of lichen planus."
96,youtube/EU7EEKXaFcg_frame_42145_0.jpg,scabies,sam_baseline,impetigo,0,0.2857,5,infectious,0.9,"The image shows erythematous, crusted lesions with a honey-colored appearance predominantly on the cheek of a child, characteristic of impetigo."
97,youtube/zHIWVerNenY_frame_735_0_0.jpg,scabies,sam_baseline,exfoliative dermatitis,0,0.1667,5,inflammatory,0.9,"The image shows extensive scaling and redness on the neck and upper back, with notable desquamation. The skin appears erythematous and inflamed with large, flaky scales."
98,youtube/QjNDAQVm9Ys_frame_9240_0_0.jpg,scabies,sam_baseline,eczema,0,0.1667,5,inflammatory,0.9,"The image shows red, inflamed patches on the soles of the feet, with areas of dryness and scaling. This appearance is consistent with eczema."
99,IIYI/10883_2.png,scabies,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a forearm with faint, scattered erythematous (reddish) spots. The lesions are small, not highly defined, and appear to be mild. No distinct patterns or definitive characteristics are n"
0,pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,no definitive diagnosis,sam_llm_guided,no definitive diagnosis,1,1.0,0,no definitive diagnosis,1.0,The image does not display identifiable human skin to analyze for dermatological conditions.
1,youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,no definitive diagnosis,sam_llm_guided,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.7,"The image shows a person undergoing a cosmetic or dermatological procedure, possibly involving a device emitting light or energy, on the neck and upper chest area. There is erythema (redness) likely d"
2,pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,no definitive diagnosis,sam_llm_guided,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.6,"The nail appears to have a normal appearance with slight whitish discoloration and minor surface irregularities, which are non-specific findings."
3,pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,no definitive diagnosis,sam_llm_guided,photoallergic dermatitis,0,0.0,-1,,0.8,"The image shows redness and mild scaling on the face, indicative of photoallergic dermatitis, often resulting from sun exposure and a reaction to certain substances."
4,youtube/0JGlIffYRuM_frame_4049_0.jpg,no definitive diagnosis,sam_llm_guided,basal cell carcinoma,0,0.0,-1,,0.9,"The image shows a pearly, pink-colored lesion with a slightly raised border and central ulceration. There are visible telangiectasias (small blood vessels) on the surface."
5,youtube/TyY1qef8dIM_frame_562_0.jpg,allergic contact dermatitis,sam_llm_guided,psoriasis,0,0.4,3,non-infectious,0.85,"The image shows multiple raised, red plaques with a silvery scale, primarily located on the arm. Some of the plaques appear to be slightly cracked or have scales that are peeling."
6,youtube/y06F3fLlDzM_frame_2891_0_0.jpg,allergic contact dermatitis,sam_llm_guided,keratosis pilaris,0,0.0,6,root,0.9,"The skin shows tiny, rough, sandpaper-like bumps commonly found on the upper arm, characteristic of keratosis pilaris."
7,youtube/TL_AhJVL7Xg_frame_3317_1.jpg,allergic contact dermatitis,sam_llm_guided,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows toes with thickened, discolored nails and surrounding skin exhibiting scaling and inflammation. There might be a possible involvement of a chronic dermatological condition affecting th"
8,youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,allergic contact dermatitis,sam_llm_guided,no definitive diagnosis,0,0.0,-1,,0.6,"The skin appears to be covered with thick, plaque-like crusts and scales, showing extensive involvement. There are areas of erythema, and the skin looks markedly rough and textured."
9,youtube/RBEULrR75Ic_frame_51337_1.jpg,allergic contact dermatitis,sam_llm_guided,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows significant redness on the face, possibly indicative of inflammation or irritation. There are no specific lesions or patterns visible that allow for a definitive diagnosis."
10,youtube/ES7RUPzSx3U_frame_1830_0_0.jpg,"irritated seborrheic keratosis (from ""sk/isk"")",sam_llm_guided,seborrheic keratosis,0,0.8,1,Seborrheic keratosis,0.9,"Multiple raised, warty, and well-defined lesions with a possibly verrucous surface. They are brown in color and appear stuck onto the skin."
